payer_int,beneficiary_int,amount
0,4,3.5
0,5,0.032
0,8,1.048
0,9,1.0
0,10,1.0
0,12,13.059999999999999
0,15,3.25
0,16,8.5
0,20,1.5
0,23,2.0
0,24,0.002
0,29,1.021
0,30,1.0
0,32,15.25
0,36,0.1335
0,41,0.1105
0,42,1.0
0,43,10.5
0,46,1.0
0,47,3.0
0,48,1.0
0,49,1.0
0,50,1.0
0,52,1.036
0,53,0.36075
0,55,9.5
0,57,6.0
0,59,9.0
0,66,1.021
0,73,0.17375000000000002
0,74,4.0
0,75,20.0
0,76,2.0
0,79,0.009
0,81,1.0
0,83,1.0
0,84,57.0
0,85,64.0
0,86,45.0
0,87,4.5
0,90,88.5
0,93,1.0
0,97,1.036
0,99,0.155
0,100,0.36350000000000005
0,101,1.036
0,109,2.15375
0,116,2.0
0,121,3.5
0,122,1.021
0,125,0.06425
0,126,1.0
0,127,83.5
0,129,0.7565
0,130,0.022
0,132,2.0
0,134,1.0
0,135,0.063
0,136,1.0
0,137,8.5
0,139,1.021
0,142,3.75
0,147,0.004
0,150,1.0
0,151,0.72175
0,152,1.0
0,157,0.493
0,158,2.0
0,159,3.0
0,160,21.5
0,162,0.021
0,163,2.072
0,164,8.5
0,166,1.048
0,169,4.5
0,170,0.0099999999999999
0,171,7.25
0,178,0.5235000000000001
0,180,0.01
1,5,13.5
1,8,1.5
1,9,1.0
1,10,1.021
1,12,340.52
1,15,0.02
1,16,0.22725
1,18,8.471
1,20,8.5
1,22,0.0052499999999999995
1,23,71.25
1,28,0.066
1,29,16.5
1,30,5.0
1,31,90.5
1,32,907.25
1,33,25.0
1,34,23.0
1,35,8.0
1,36,2.902
1,38,1.5887499999999999
1,40,32.744
1,41,0.4205
1,42,1.0
1,43,61.75
1,46,7.5
1,48,6.98325
1,49,50.5
1,50,1.048
1,52,123.0
1,53,1.036
1,55,2.0
1,57,242.0
1,58,1.0
1,59,63.5
1,61,8.5
1,63,0.001
1,64,0.003
1,66,1.021
1,73,1.021
1,74,19.0
1,75,14.0
1,76,3.0
1,81,43.5
1,83,1.036
1,84,14.75
1,86,0.05375
1,90,321.0
1,93,2.5
1,99,1.048
1,100,1.021
1,102,6.815
1,109,0.021
1,112,1.0
1,115,0.0605
1,116,2.0
1,119,0.1945
1,121,56.5
1,122,73.5
1,125,1.0
1,126,2.0
1,129,1.021
1,130,1.0
1,132,1.0
1,134,202.5
1,137,27.5
1,141,0.208
1,142,17.25
1,150,8.5
1,152,18.5
1,157,2.79
1,158,20.25
1,162,0.107
1,163,3.107
1,164,5.0
1,166,143.91250000000002
1,169,6.0
1,170,1.048
1,171,1839.75
1,175,22.0
1,178,46.0895
1,179,167.25
1,180,1.036
1,181,4.5
2,4,1.0
2,5,0.088
2,8,1.021
2,9,6.0
2,10,2.0
2,12,4.73
2,15,1.021
2,16,25.0
2,22,0.053
2,23,4.666
2,29,2.0
2,30,5.5
2,32,15.0
2,33,0.016
2,34,2.672
2,35,0.011
2,36,0.0854999999999999
2,38,3.5645
2,40,9.311
2,41,3.0
2,42,8.25
2,43,40.0
2,46,3.25
2,47,1.036
2,50,2.75
2,52,14.5
2,53,0.011
2,54,0.2244999999999999
2,55,7.5
2,57,14.25
2,59,7.75
2,60,1.036
2,66,151.25
2,68,0.035
2,71,10.5
2,73,7.5
2,74,2.0
2,75,1.0
2,76,3.0
2,79,0.011
2,81,262.0
2,83,0.1175
2,84,1.0
2,90,2.0
2,92,0.004
2,93,0.5395000000000001
2,99,0.043
2,100,0.67875
2,102,0.026500000000000003
2,103,1.021
2,104,0.011
2,107,8.25
2,109,1.021
2,116,1.0
2,121,6.25
2,122,5.0
2,125,0.0854999999999999
2,127,1.021
2,132,1.0
2,134,0.29400000000000004
2,137,3.75
2,139,0.171
2,141,0.011
2,145,0.043
2,150,2.042
2,151,4.25
2,152,1.0
2,155,2.0
2,158,2.0
2,162,0.1285
2,163,1.0
2,164,32.0
2,169,4.5
2,171,14.25
2,174,1.036
2,175,1.0
2,177,1.021
2,178,2.5
2,179,1.021
2,180,0.011
2,181,0.219
3,166,0.055
4,0,3.5
4,2,1.0
4,5,51.25
4,6,22.75
4,8,561.0
4,9,61.75
4,10,13.25
4,11,1.048
4,12,454.7
4,13,1.0
4,15,106.0
4,16,5.75
4,17,120.5
4,20,7.0
4,22,0.026999999999999996
4,23,152.25
4,24,0.011
4,25,1.75
4,29,126.25
4,30,242.0
4,31,40.0
4,32,2095.25
4,33,2.5
4,34,1.0
4,36,2.5
4,37,4.0
4,39,1.0
4,40,3.5
4,41,31.0
4,42,75.0
4,43,1365.0
4,44,8.75
4,46,106.75
4,47,1.0
4,48,29.25
4,49,1.0
4,50,60.75
4,52,200.0
4,53,1.5
4,54,7.5
4,55,185.25
4,57,1235.0
4,59,1657.5
4,60,44.925
4,61,2.0
4,62,3.0
4,63,2.5
4,66,41.0
4,68,12.5
4,71,1.75
4,73,5.75
4,74,485.25
4,75,1861.0
4,76,117.5
4,77,1555.75
4,78,1.048
4,79,4.0
4,81,915.75
4,82,6.5
4,83,58.75
4,84,8400.0
4,85,16.0
4,86,196.25
4,87,4.0
4,90,3290.25
4,91,219.25
4,93,62.0
4,95,18.75
4,97,139.25
4,99,2.0
4,100,7.01
4,101,3.0
4,102,12.0
4,103,10.742500000000001
4,104,1.5
4,105,46.0
4,106,38.323
4,107,1.25
4,109,6.0
4,110,16.0
4,112,2.5
4,113,0.2225
4,114,12.75
4,116,594.75
4,118,1.0
4,119,1.0
4,121,479.0
4,122,48.5
4,123,82.0
4,125,143.0
4,126,1303.5
4,127,864.25
4,129,17.25
4,130,460.0
4,131,0.093
4,132,20.75
4,134,18.5
4,136,376.75
4,137,104.5
4,138,5.0
4,139,1042.5
4,140,10.0
4,141,3.5
4,142,1265.25
4,147,27.75
4,150,5.5
4,151,8.0
4,152,131.75
4,154,1.2294999999999998
4,155,58.75
4,157,1.036
4,158,1148.25
4,159,3.0
4,160,77.0
4,162,1.036
4,163,12.25
4,164,185.0
4,166,715.795
4,167,29.5
4,168,8.75
4,169,35.5
4,170,1.0
4,171,1673.25
4,175,17.0
4,177,129.75
4,179,141.0
4,180,10.5
4,181,7.75
5,0,0.032
5,1,13.5
5,2,0.088
5,4,51.25
5,7,0.1925
5,8,62.25
5,9,42.25
5,10,7.0
5,12,285.38
5,13,1.0
5,14,4.194
5,15,52.5
5,16,3.75
5,17,13.5
5,18,4.25
5,19,0.0775
5,20,8.0
5,21,2.0
5,22,166.75
5,23,6636.25
5,24,1.0
5,25,1.0
5,28,0.048
5,29,244.75
5,30,143.5
5,31,1701.0
5,32,1040.5
5,33,24.0
5,34,1.0
5,35,7.75
5,36,97.0
5,37,0.011
5,38,1.2025
5,39,18.5
5,40,29.5
5,41,18.0
5,42,10.25
5,43,972.5
5,44,3.5735
5,45,3.8780000000000006
5,46,151.75
5,47,20.25
5,48,65.5
5,49,96.0
5,50,188.5
5,51,0.342
5,52,935.5
5,53,1.0
5,54,0.043
5,55,86.25
5,56,1.0
5,57,773.25
5,58,1.0
5,59,287.0
5,60,3.0
5,61,1.5
5,62,0.305
5,63,0.075
5,64,0.044
5,65,4.5
5,66,48.5
5,67,0.3845
5,68,18.25
5,69,0.14975
5,70,4.75
5,71,2.75
5,72,15.5
5,73,14.75
5,74,88.25
5,75,298.75
5,76,46.75
5,77,186.0
5,78,33.0
5,79,1.048
5,80,85.25
5,81,910.5
5,82,8.5
5,83,93.0
5,84,641.5
5,85,4.5
5,86,22.5
5,88,0.118
5,90,330.75
5,91,22.0
5,93,36.0
5,94,2.0
5,95,29.5
5,96,0.516
5,97,5.5
5,98,0.021
5,99,9.5
5,100,5.29
5,101,11.25
5,102,48.25
5,103,1.036
5,104,6.5
5,105,0.031
5,106,367.5
5,107,4.5
5,108,0.0265
5,109,5.5
5,110,3.0
5,111,0.011
5,112,4.5
5,113,0.25949999999999995
5,114,11.25
5,115,1.0
5,116,180.75
5,117,3.0
5,118,1.021
5,119,119.25
5,120,3.0
5,121,440.5
5,122,23.75
5,123,119.459
5,125,39.5
5,126,23.5
5,127,41.5
5,128,12.25
5,129,142.5
5,130,16.0
5,132,40.0
5,133,2.042
5,134,94.75
5,135,438.75
5,136,7.0
5,137,84.75
5,138,1.2775
5,139,33.0
5,140,17.5
5,141,6.5
5,142,61.0
5,144,0.011
5,145,21.0
5,147,1.0
5,149,1.0
5,150,7.25
5,151,5.25
5,152,166.25
5,153,0.011
5,155,67.0
5,156,0.011
5,157,1.5315
5,158,157.75
5,159,306.304
5,160,2.042
5,161,0.001
5,162,5.25
5,163,46.0
5,164,57.25
5,166,158.9725
5,167,6.0
5,169,7.75
5,170,624.25
5,171,3991.5
5,172,1.0
5,173,0.06099999999999995
5,174,125.75
5,175,19.0
5,176,0.921
5,177,28.5
5,178,1.0
5,179,179.75
5,180,1.0
5,181,3.5
6,4,22.75
6,8,1.021
6,9,3.0
6,12,79.94
6,16,3.75
6,20,1.25
6,22,0.011
6,23,2.0
6,29,2.0
6,30,9.0
6,32,3.0
6,36,0.107
6,41,4.0
6,42,5.5
6,43,25.0
6,46,1.5
6,50,2.0965
6,52,2.5
6,53,0.107
6,55,2.0
6,57,8.25
6,59,19.0
6,60,15.75
6,66,25.75
6,73,2.0
6,74,2.5895
6,75,5.0
6,76,1.0
6,77,55.0
6,80,5.5
6,81,15.0
6,83,0.107
6,84,3.0
6,85,1.0
6,87,1.0
6,90,1.0
6,93,5.0
6,99,2.0
6,100,2.0
6,101,1.0
6,103,1.0
6,109,1.021
6,116,2.0
6,121,6.25
6,122,1.021
6,125,0.321
6,126,1.048
6,127,1.021
6,128,21.0
6,132,2.5
6,134,1.036
6,137,63.5
6,142,1.021
6,145,1.036
6,150,1.0
6,151,1.0
6,152,3.5
6,155,2.0
6,158,1.021
6,159,0.107
6,160,7.25
6,164,21.0
6,166,1.79
6,169,7.5
6,171,55.25
6,172,1.0
6,178,0.2675
6,179,41.900999999999996
6,181,1.0
7,5,0.1925
7,8,0.1285
7,9,0.06424999999999995
7,12,0.3155
7,15,0.34475000000000006
7,16,0.11749999999999995
7,18,0.048
7,21,0.08624999999999995
7,23,10.80925
7,24,3.4425
7,29,11.9075
7,30,0.49724999999999997
7,31,0.107
7,32,0.652
7,33,0.7005
7,36,0.147
7,39,0.248
7,42,0.1015
7,43,1.18375
7,45,2.6
7,46,0.6892499999999999
7,52,6.688750000000001
7,53,0.1285
7,55,6.699000000000001
7,57,4.77525
7,59,34.8195
7,61,0.011
7,63,0.001
7,66,5.713
7,67,0.3554999999999999
7,69,2.071
7,72,0.0615
7,73,0.35250000000000004
7,75,0.497
7,76,0.39824999999999994
7,79,20.387
7,81,3.53825
7,82,3.3285
7,99,0.011
7,100,0.011
7,101,0.04025
7,109,0.10699999999999996
7,116,0.36875
7,119,0.1015
7,121,3.25225
7,122,2.7765
7,125,0.131
7,129,0.0265
7,130,0.16
7,132,0.30475
7,134,0.14175
7,142,17.87725
7,150,0.214
7,151,0.516
7,152,0.21649999999999997
7,157,0.075
7,162,8.965250000000001
7,163,0.305
7,164,10.745249999999999
7,166,0.15
7,170,0.0505
7,171,50.336999999999996
7,173,2.618
7,178,0.9195
7,179,2.6775
7,181,0.001
8,0,1.048
8,1,1.5
8,2,1.021
8,4,561.0
8,5,62.25
8,6,1.021
8,7,0.1285
8,9,166.0
8,10,1.5
8,11,1.036
8,12,589.95
8,13,1.036
8,14,1.83475
8,15,105.75
8,16,3.75
8,17,39.0
8,18,4.0
8,19,2.5
8,20,2.25
8,21,0.1625
8,22,1.0
8,23,335.0
8,24,3.0
8,25,89.75
8,26,1.048
8,27,1.0
8,28,0.0584999999999999
8,29,935.25
8,30,398.0
8,31,73.25
8,32,6076.25
8,33,10.5
8,34,1.0
8,35,15.315
8,36,11.0
8,37,3.0
8,38,1.036
8,39,7.75
8,40,2.5
8,41,5.25
8,42,41.5
8,43,2109.75
8,44,1.0
8,45,0.050249999999999996
8,46,197.0
8,47,4.75
8,48,14.75
8,49,2.5
8,50,167.25
8,51,0.214
8,52,400.25
8,53,2.25
8,54,3.75
8,55,343.5
8,56,263.75
8,57,965.75
8,58,1.0
8,59,3140.0
8,60,1.5
8,61,18.75
8,62,2.0
8,63,1.0
